LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION TYPE,REGION NAME,PRICE BUCKET,MEDIAN SALE PRICE ($),MEDIAN DAYS ON MARKET (DAYS),ACTIVE LISTINGS,PENDING SALES
2026-08-15,Rolling 3 months,2026-05-01,2026-07-31,State,Alabama,Luxury,981284,61,2413,1163
2026-08-15,Rolling 3 months,2026-04-01,2026-06-30,State,Alabama,Luxury,993821,56,2423,1197
2026-08-15,Rolling 3 months,2026-03-01,2026-05-31,State,Alabama,Luxury,989858,55,2385,1194
2026-08-15,Rolling 3 months,2026-02-01,2026-04-30,State,Alabama,Luxury,945574,63,2241,1094
2026-08-15,Rolling 3 months,2026-01-01,2026-03-31,State,Alabama,Luxury,930416,83,2091,940
2026-08-15,Rolling 3 months,2025-12-01,2026-02-28,State,Alabama,Luxury,914805,89,1972,769
2026-08-15,Rolling 3 months,2025-11-01,2026-01-31,State,Alabama,Luxury,931418,78,1992,699
2026-08-15,Rolling 3 months,2025-10-01,2025-12-31,State,Alabama,Luxury,915403,72,2085,748
2026-08-15,Rolling 3 months,2025-09-01,2025-11-30,State,Alabama,Luxury,912980,71,2192,923
2026-08-15,Rolling 3 months,2025-08-01,2025-10-31,State,Alabama,Luxury,904686,72,2273,999
2026-08-15,Rolling 3 months,2025-07-01,2025-09-30,State,Alabama,Luxury,912528,66,2332,1074
2026-08-15,Rolling 3 months,2025-06-01,2025-08-31,State,Alabama,Luxury,914461,64,2392,1061
2026-08-15,Rolling 3 months,2025-05-01,2025-07-31,State,Alabama,Luxury,911305,59,2413,1075
2026-08-15,Rolling 3 months,2025-04-01,2025-06-30,State,Alabama,Luxury,905215,54,2355,1025
2026-08-15,Rolling 3 months,2025-03-01,2025-05-31,State,Alabama,Luxury,927343,57,2236,1017
2026-08-15,Rolling 3 months,2025-02-01,2025-04-30,State,Alabama,Luxury,931824,63,2061,925
2026-08-15,Rolling 3 months,2025-01-01,2025-03-31,State,Alabama,Luxury,949063,78,1901,830
2026-08-15,Rolling 3 months,2024-12-01,2025-02-28,State,Alabama,Luxury,898660,78,1793,646
2026-08-15,Rolling 3 months,2024-11-01,2025-01-31,State,Alabama,Luxury,901970,74,1825,642
2026-08-15,Rolling 3 months,2024-10-01,2024-12-31,State,Alabama,Luxury,900045,67,1933,728
2026-08-15,Rolling 3 months,2024-09-01,2024-11-30,State,Alabama,Luxury,904652,69,2043,809
2026-08-15,Rolling 3 months,2024-08-01,2024-10-31,State,Alabama,Luxury,896496,63,2111,853
2026-08-15,Rolling 3 months,2024-07-01,2024-09-30,State,Alabama,Luxury,872229,61,2150,869
2026-08-15,Rolling 3 months,2024-06-01,2024-08-31,State,Alabama,Luxury,869394,55,2211,958
2026-08-15,Rolling 3 months,2024-05-01,2024-07-31,State,Alabama,Luxury,870224,55,2241,1055
2026-08-15,Rolling 3 months,2024-04-01,2024-06-30,State,Alabama,Luxury,875165,53,2229,1162
2026-08-15,Rolling 3 months,2024-03-01,2024-05-31,State,Alabama,Luxury,876831,50,2128,1177
2026-08-15,Rolling 3 months,2024-02-01,2024-04-30,State,Alabama,Luxury,872628,50,1996,1102
2026-08-15,Rolling 3 months,2024-01-01,2024-03-31,State,Alabama,Luxury,878182,48,1836,907
2026-08-15,Rolling 3 months,2023-12-01,2024-02-29,State,Alabama,Luxury,871581,60,1746,727
2026-08-15,Rolling 3 months,2023-11-01,2024-01-31,State,Alabama,Luxury,857811,61,1745,654
2026-08-15,Rolling 3 months,2023-10-01,2023-12-31,State,Alabama,Luxury,854182,60,1828,661
2026-08-15,Rolling 3 months,2023-09-01,2023-11-30,State,Alabama,Luxury,832660,56,1890,753
2026-08-15,Rolling 3 months,2023-08-01,2023-10-31,State,Alabama,Luxury,837487,54,1910,865
2026-08-15,Rolling 3 months,2023-07-01,2023-09-30,State,Alabama,Luxury,815857,52,1909,945
2026-08-15,Rolling 3 months,2023-06-01,2023-08-31,State,Alabama,Luxury,826814,47,1927,1060
2026-08-15,Rolling 3 months,2023-05-01,2023-07-31,State,Alabama,Luxury,834565,44,1941,1073
2026-08-15,Rolling 3 months,2023-04-01,2023-06-30,State,Alabama,Luxury,846900,44,1906,1056
2026-08-15,Rolling 3 months,2023-03-01,2023-05-31,State,Alabama,Luxury,863392,51,1861,994
2026-08-15,Rolling 3 months,2023-02-01,2023-04-30,State,Alabama,Luxury,866210,60,1751,913
2026-08-15,Rolling 3 months,2023-01-01,2023-03-31,State,Alabama,Luxury,882458,69,1685,826
2026-08-15,Rolling 3 months,2022-12-01,2023-02-28,State,Alabama,Luxury,845502,68,1635,679
2026-08-15,Rolling 3 months,2022-11-01,2023-01-31,State,Alabama,Luxury,827121,59,1701,647
2026-08-15,Rolling 3 months,2022-10-01,2022-12-31,State,Alabama,Luxury,782092,55,1787,719
2026-08-15,Rolling 3 months,2022-09-01,2022-11-30,State,Alabama,Luxury,787551,52,1898,859
2026-08-15,Rolling 3 months,2022-08-01,2022-10-31,State,Alabama,Luxury,771854,50,1997,1029
2026-08-15,Rolling 3 months,2022-07-01,2022-09-30,State,Alabama,Luxury,781549,47,2042,1113
2026-08-15,Rolling 3 months,2022-06-01,2022-08-31,State,Alabama,Luxury,770041,44,2077,1298
2026-08-15,Rolling 3 months,2022-05-01,2022-07-31,State,Alabama,Luxury,785209,43,2043,1401
2026-08-15,Rolling 3 months,2022-04-01,2022-06-30,State,Alabama,Luxury,786447,42,2026,1553
2026-08-15,Rolling 3 months,2022-03-01,2022-05-31,State,Alabama,Luxury,782911,46,1950,1543
2026-08-15,Rolling 3 months,2022-02-01,2022-04-30,State,Alabama,Luxury,758477,51,1835,1474
2026-08-15,Rolling 3 months,2022-01-01,2022-03-31,State,Alabama,Luxury,741766,63,1730,1283
2026-08-15,Rolling 3 months,2021-12-01,2022-02-28,State,Alabama,Luxury,741438,71,1699,1178
2026-08-15,Rolling 3 months,2021-11-01,2022-01-31,State,Alabama,Luxury,734743,76,1770,1107
2026-08-15,Rolling 3 months,2021-10-01,2021-12-31,State,Alabama,Luxury,722951,73,1886,1168
2026-08-15,Rolling 3 months,2021-09-01,2021-11-30,State,Alabama,Luxury,718070,66,1995,1209
2026-08-15,Rolling 3 months,2021-08-01,2021-10-31,State,Alabama,Luxury,732178,59,2095,1269
2026-08-15,Rolling 3 months,2021-07-01,2021-09-30,State,Alabama,Luxury,735487,58,2184,1392
2026-08-15,Rolling 3 months,2021-06-01,2021-08-31,State,Alabama,Luxury,727619,58,2271,1552
2026-08-15,Rolling 3 months,2021-05-01,2021-07-31,State,Alabama,Luxury,713519,59,2290,1594
2026-08-15,Rolling 3 months,2021-04-01,2021-06-30,State,Alabama,Luxury,710076,58,2283,1595
2026-08-15,Rolling 3 months,2021-03-01,2021-05-31,State,Alabama,Luxury,711979,67,2199,1543
