,LAST UPDATED_x,FREQUENCY_x,PERIOD BEGIN,PERIOD END_x,REGION ID,REGION TYPE,REGION NAME,HOMES SOLD,HOMES SOLD YOY (%),MEDIAN SALE PRICE NSA ($),MEDIAN SALE PRICE NSA YOY (%),MEDIAN DAYS ON MARKET (DAYS)_x,MEDIAN DAYS ON MARKET YOY (DAYS),NEW LISTINGS,NEW LISTINGS YOY (%),ACTIVE LISTINGS_x,ACTIVE LISTINGS YOY (%),PENDING SALES_x,PENDING SALES YOY (%),MEDIAN NEW LISTING PRICE PER SQ.FT. ($),MEDIAN NEW LISTING PRICE PER SQ.FT. YOY (%),LAST UPDATED_y,FREQUENCY_y,PERIOD END_y,PRICE BUCKET,MEDIAN SALE PRICE ($),MEDIAN DAYS ON MARKET (DAYS)_y,ACTIVE LISTINGS_y,PENDING SALES_y
0,2026-09-03,Monthly,2026-05-01,2026-05-31,1,State,Alabama,5376.0,2.58,305000.0,3.39,64.0,3.0,6909.0,3.34,30586.0,6.25,6479.0,6.36,162.15,1.34,2026-08-15,Rolling 3 months,2026-07-31,Luxury,981284,61,2413,1163
1,2026-09-03,Monthly,2026-05-01,2026-05-31,1,State,Alabama,5376.0,2.58,305000.0,3.39,64.0,3.0,6909.0,3.34,30586.0,6.25,6479.0,6.36,162.15,1.34,2026-08-15,Rolling 3 months,2026-07-31,Non-Luxury,297238,54,8274,5991
2,2026-09-03,Monthly,2026-05-01,2026-05-31,3,State,Alaska,664.0,-3.1,429500.0,3.87,29.0,0.0,891.0,8.12,2602.0,-1.47,816.0,4.78,253.48,3.82,2026-08-15,Rolling 3 months,2026-07-31,Luxury,979201,24,233,159
3,2026-09-03,Monthly,2026-05-01,2026-05-31,3,State,Alaska,664.0,-3.1,429500.0,3.87,29.0,0.0,891.0,8.12,2602.0,-1.47,816.0,4.78,253.48,3.82,2026-08-15,Rolling 3 months,2026-07-31,Non-Luxury,420440,16,648,785
4,2026-09-03,Monthly,2026-05-01,2026-05-31,5,State,Arizona,8427.0,4.99,449000.0,0.9,67.0,4.0,10793.0,-1.84,47502.0,-3.39,10050.0,6.55,256.53,0.4,2026-08-15,Rolling 3 months,2026-07-31,Luxury,1895150,78,3546,1531
5,2026-09-03,Monthly,2026-05-01,2026-05-31,5,State,Arizona,8427.0,4.99,449000.0,0.9,67.0,4.0,10793.0,-1.84,47502.0,-3.39,10050.0,6.55,256.53,0.4,2026-08-15,Rolling 3 months,2026-07-31,Non-Luxury,445695,61,13270,8842
6,2026-09-03,Monthly,2026-05-01,2026-05-31,7,State,Arkansas,3176.0,2.86,278950.0,3.37,54.0,3.0,4317.0,5.39,18903.0,8.49,3675.0,3.94,162.32,2.16,2026-08-15,Rolling 3 months,2026-07-31,Luxury,923718,57,1528,616
7,2026-09-03,Monthly,2026-05-01,2026-05-31,7,State,Arkansas,3176.0,2.86,278950.0,3.37,54.0,3.0,4317.0,5.39,18903.0,8.49,3675.0,3.94,162.32,2.16,2026-08-15,Rolling 3 months,2026-07-31,Non-Luxury,259601,47,4710,3218
8,2026-09-03,Monthly,2026-05-01,2026-05-31,9,State,California,23187.0,5.55,778000.0,2.1,41.0,0.0,29576.0,-4.33,109112.0,-5.19,26253.0,2.05,466.96,-0.19,2026-08-15,Rolling 3 months,2026-07-31,Luxury,3322497,39,9697,4502
9,2026-09-03,Monthly,2026-05-01,2026-05-31,9,State,California,23187.0,5.55,778000.0,2.1,41.0,0.0,29576.0,-4.33,109112.0,-5.19,26253.0,2.05,466.96,-0.19,2026-08-15,Rolling 3 months,2026-07-31,Non-Luxury,826714,33,29964,25014
10,2026-09-03,Monthly,2026-05-01,2026-05-31,11,State,Colorado,7310.0,2.15,565000.0,1.8,47.0,1.0,9059.0,-12.37,37638.0,-6.34,8132.0,-7.78,272.2,0.44,2026-08-15,Rolling 3 months,2026-07-31,Luxury,1771703,39,3034,1476
11,2026-09-03,Monthly,2026-05-01,2026-05-31,11,State,Colorado,7310.0,2.15,565000.0,1.8,47.0,1.0,9059.0,-12.37,37638.0,-6.34,8132.0,-7.78,272.2,0.44,2026-08-15,Rolling 3 months,2026-07-31,Non-Luxury,553886,33,10070,7304
12,2026-09-03,Monthly,2026-05-01,2026-05-31,17,State,Columbia,573.0,17.23,719359.0,2.18,63.0,1.0,890.0,0.38,3847.0,-0.36,614.0,0.62,491.16,-1.74,2026-08-15,Rolling 3 months,2026-07-31,Luxury,2224256,31,427,247
13,2026-09-03,Monthly,2026-05-01,2026-05-31,17,State,Columbia,573.0,17.23,719359.0,2.18,63.0,1.0,890.0,0.38,3847.0,-0.36,614.0,0.62,491.16,-1.74,2026-08-15,Rolling 3 months,2026-07-31,Non-Luxury,585937,70,949,444
14,2026-09-03,Monthly,2026-05-01,2026-05-31,13,State,Connecticut,3044.0,-3.81,459500.0,8.12,39.0,0.0,3650.0,4.78,10550.0,0.54,3611.0,0.28,253.79,3.42,2026-08-15,Rolling 3 months,2026-07-31,Luxury,1338194,35,975,696
15,2026-09-03,Monthly,2026-05-01,2026-05-31,13,State,Connecticut,3044.0,-3.81,459500.0,8.12,39.0,0.0,3650.0,4.78,10550.0,0.54,3611.0,0.28,253.79,3.42,2026-08-15,Rolling 3 months,2026-07-31,Non-Luxury,415596,32,3340,3850
16,2026-09-03,Monthly,2026-05-01,2026-05-31,15,State,Delaware,1214.0,1.55,410000.0,2.5,51.0,7.0,1449.0,4.43,5474.0,8.02,1311.0,5.78,216.94,1.68,2026-08-15,Rolling 3 months,2026-07-31,Luxury,1252385,50,509,271
17,2026-09-03,Monthly,2026-05-01,2026-05-31,15,State,Delaware,1214.0,1.55,410000.0,2.5,51.0,7.0,1449.0,4.43,5474.0,8.02,1311.0,5.78,216.94,1.68,2026-08-15,Rolling 3 months,2026-07-31,Non-Luxury,379280,45,1611,1265
18,2026-09-03,Monthly,2026-05-01,2026-05-31,19,State,Florida,30518.0,5.65,397000.0,1.79,73.0,0.0,42188.0,-4.12,200800.0,-13.61,36383.0,7.08,238.01,0.13,2026-08-15,Rolling 3 months,2026-07-31,Luxury,1810785,78,16258,6174
19,2026-09-03,Monthly,2026-05-01,2026-05-31,19,State,Florida,30518.0,5.65,397000.0,1.79,73.0,0.0,42188.0,-4.12,200800.0,-13.61,36383.0,7.08,238.01,0.13,2026-08-15,Rolling 3 months,2026-07-31,Non-Luxury,390629,63,53030,32347
20,2026-09-03,Monthly,2026-05-01,2026-05-31,21,State,Georgia,10939.0,0.78,370000.0,1.37,61.0,4.0,17050.0,9.31,75888.0,16.55,12942.0,1.55,184.44,1.17,2026-08-15,Rolling 3 months,2026-07-31,Luxury,1298022,47,5437,2127
